year,neighbourhood,average_house_value
2001,Agincourt North,200388.0
2001,Agincourt South-Malvern West,203047.0
2001,Alderwood,259998.0
2001,Annex,453850.0
2001,Banbury-Don Mills,371864.0
2001,Bathurst Manor,304749.0
2001,Bay Street Corridor,257404.0
2001,Bayview Village,327644.0
2001,Bayview Woods-Steeles,343535.0
2001,Bedford Park-Nortown,565304.0
2001,Beechborough-Greenbrook,225369.0
2001,Bendale,182957.0
2001,Birchcliffe-Cliffside,265705.0
2001,Black Creek,158483.0
2001,Blake-Jones,310740.0
2001,Briar Hill-Belgravia,222086.0
2001,Bridle Path-Sunnybrook-York Mills,927466.0
2001,Broadview North,269386.0
2001,Brookhaven-Amesbury,213227.0
2001,Cabbagetown-South St.James Town,300213.0
2001,Caledonia-Fairbank,219771.0
2001,Casa Loma,596077.0
2001,Centennial Scarborough,249025.0
2001,Church-Yonge Corridor,246750.0
2001,Clairlea-Birchmount,215421.0
2001,Clanton Park,335119.0
2001,Cliffcrest,253618.0
2001,Corso Italia-Davenport,255142.0
2001,Danforth,283706.0
2001,Danforth-East York,256205.0
2001,Don Valley Village,241824.0
2001,Dorset Park,159187.0
2001,Dovercourt-Wallace Emerson-Juncti,264116.0
2001,Downsview-Roding-CFB,231741.0
2001,Dufferin Grove,278023.0
2001,East End-Danforth,290457.0
2001,Edenbridge-Humber Valley,483734.0
2001,Eglinton East,163419.0
2001,Elms-Old Rexdale,163039.0
2001,Englemount-Lawrence,345676.0
2001,Eringate-Centennial-West Deane,241685.0
2001,Etobicoke West Mall,187993.0
2001,Flemingdon Park,126255.0
2001,Forest Hill North,517466.0
2001,Forest Hill South,726664.0
2001,Glenfield-Jane Heights,199043.0
2001,Greenwood-Coxwell,235168.0
2001,Guildwood,224425.0
2001,Henry Farm,224780.0
2001,High Park North,323536.0
2001,High Park-Swansea,354207.0
2001,Highland Creek,260555.0
2001,Hillcrest Village,240009.0
2001,Humber Heights-Westmount,272896.0
2001,Humber Summit,213919.0
2001,Humbermede,194295.0
2001,Humewood-Cedarvale,423537.0
2001,Ionview,174793.0
2001,Islington-City Centre West,274436.0
2001,Junction Area,263247.0
2001,Keelesdale-Eglinton West,196112.0
2001,Kennedy Park,174518.0
2001,Kensington-Chinatown,267631.0
2001,Kingsview Village-The Westway,205572.0
2001,Kingsway South,512334.0
2001,L'Amoreaux,395115.0
2001,Lambton Baby Point,204523.0
2001,Lansing-Westgate,372579.0
2001,Lawrence Park North,461393.0
2001,Lawrence Park South,664712.0
2001,Leaside-Bennington,489998.0
2001,Little Portugal,328211.0
2001,Long Branch,234424.0
2001,Malvern,156076.0
2001,Maple Leaf,275374.0
2001,Markland Wood,269751.0
2001,Milliken,209609.0
2001,Mimico,239078.0
2001,Morningside,173169.0
2001,Moss Park,248778.0
2001,Mount Dennis,159374.0
2001,Mount Olive-Silverstone-Jamestown,153829.0
2001,Mount Pleasant East,411558.0
2001,Mount Pleasant West,284459.0
2001,New Toronto,247779.0
2001,Newtonbrook East,339987.0
2001,Newtonbrook West,279833.0
2001,Niagara,224801.0
2001,North Riverdale,427169.0
2001,North St.James Town,249993.0
2001,O'Connor-Parkview,181251.0
2001,Oakridge,256556.0
2001,Oakwood Village,268067.0
2001,Old East York,269410.0
2001,Palmerston-Little Italy,378033.0
2001,Parkwoods-Donalda,276239.0
2001,Pelmo Park-Humberlea,246333.0
2001,Playter Estates-Danforth,394235.0
2001,Pleasant View,226856.0
2001,Princess-Rosethorn,465254.0
2001,Regent Park,238524.0
2001,Rexdale-Kipling,219337.0
2001,Rockcliffe-Smythe,210017.0
2001,Roncesvalles,309221.0
2001,Rosedale-Moore Park,664476.0
2001,Rouge,228625.0
2001,Runnymede-Bloor West Village,335435.0
2001,Rustic,261923.0
2001,Scarborough Village,200402.0
2001,South Parkdale,271880.0
2001,South Riverdale,276462.0
2001,St.Andrew-Windfields,607040.0
2001,Steeles,228460.0
2001,Stonegate-Queensway,334433.0
2001,Tam O'Shanter-Sullivan,215039.0
2001,Taylor-Massey,145464.0
2001,The Beaches,404836.0
2001,Thistletown-Beaumond Heights,228368.0
2001,Thorncliffe Park,155094.0
2001,Trinity-Bellwoods,324732.0
2001,University,375678.0
2001,Victoria Village,213950.0
2001,Waterfront Communities-The Island,228975.0
2001,West Hill,172947.0
2001,West Humber-Clairville,208555.0
2001,Westminster-Branson,212241.0
2001,Weston,187140.0
2001,Weston-Pellam Park,213749.0
2001,Wexford/Maryvale,211633.0
2001,Willowdale East,284984.0
2001,Willowdale West,283215.0
2001,Willowridge-Martingrove-Richview,282087.0
2001,Woburn,181367.0
2001,Woodbine Corridor,270607.0
2001,Woodbine-Lumsden,224756.0
2001,Wychwood,343877.0
2001,Yonge-Eglinton,491987.0
2001,Yonge-St.Clair,494098.0
2001,York University Heights,185859.0
2001,Yorkdale-Glen Park,261784.0
2006,Agincourt North,293140.0
2006,Agincourt South-Malvern West,297031.0
2006,Alderwood,380342.0
2006,Annex,663921.0
2006,Banbury-Don Mills,543987.0
2006,Bathurst Manor,445807.0
2006,Bay Street Corridor,376548.0
2006,Bayview Village,479299.0
2006,Bayview Woods-Steeles,502546.0
2006,Bedford Park-Nortown,826963.0
2006,Beechborough-Greenbrook,329685.0
2006,Bendale,267642.0
2006,Birchcliffe-Cliffside,388690.0
2006,Black Creek,231839.0
2006,Blake-Jones,454571.0
2006,Briar Hill-Belgravia,324882.0
2006,Bridle Path-Sunnybrook-York Mills,1356757.0
2006,Broadview North,394075.0
2006,Brookhaven-Amesbury,311922.0
2006,Cabbagetown-South St.James Town,439171.0
2006,Caledonia-Fairbank,321496.0
2006,Casa Loma,871981.0
2006,Centennial Scarborough,364291.0
2006,Church-Yonge Corridor,360962.0
2006,Clairlea-Birchmount,315133.0
2006,Clanton Park,490234.0
2006,Cliffcrest,371009.0
2006,Corso Italia-Davenport,373239.0
2006,Danforth,415024.0
2006,Danforth-East York,374793.0
2006,Don Valley Village,353756.0
2006,Dorset Park,232869.0
2006,Dovercourt-Wallace Emerson-Juncti,386366.0
2006,Downsview-Roding-CFB,339006.0
2006,Dufferin Grove,406710.0
2006,East End-Danforth,424900.0
2006,Edenbridge-Humber Valley,707638.0
2006,Eglinton East,239060.0
2006,Elms-Old Rexdale,238505.0
2006,Englemount-Lawrence,505677.0
2006,Eringate-Centennial-West Deane,353553.0
2006,Etobicoke West Mall,275009.0
2006,Flemingdon Park,184694.0
2006,Forest Hill North,756983.0
2006,Forest Hill South,1063011.0
2006,Glenfield-Jane Heights,291172.0
2006,Greenwood-Coxwell,344019.0
2006,Guildwood,328303.0
2006,Henry Farm,328823.0
2006,High Park North,473289.0
2006,High Park-Swansea,518157.0
2006,Highland Creek,381156.0
2006,Hillcrest Village,351101.0
2006,Humber Heights-Westmount,399210.0
2006,Humber Summit,312935.0
2006,Humbermede,284227.0
2006,Humewood-Cedarvale,619577.0
2006,Ionview,255698.0
2006,Islington-City Centre West,401463.0
2006,Junction Area,385094.0
2006,Keelesdale-Eglinton West,286886.0
2006,Kennedy Park,255296.0
2006,Kensington-Chinatown,391509.0
2006,Kingsview Village-The Westway,300725.0
2006,Kingsway South,749476.0
2006,L'Amoreaux,578001.0
2006,Lambton Baby Point,299190.0
2006,Lansing-Westgate,545034.0
2006,Lawrence Park North,674957.0
2006,Lawrence Park South,972384.0
2006,Leaside-Bennington,716801.0
2006,Little Portugal,480129.0
2006,Long Branch,342930.0
2006,Malvern,228318.0
2006,Maple Leaf,402835.0
2006,Markland Wood,394610.0
2006,Milliken,306629.0
2006,Mimico,349739.0
2006,Morningside,253323.0
2006,Moss Park,363929.0
2006,Mount Dennis,233143.0
2006,Mount Olive-Silverstone-Jamestown,225031.0
2006,Mount Pleasant East,602054.0
2006,Mount Pleasant West,416125.0
2006,New Toronto,362468.0
2006,Newtonbrook East,497355.0
2006,Newtonbrook West,409358.0
2006,Niagara,328854.0
2006,North Riverdale,624890.0
2006,North St.James Town,365706.0
2006,O'Connor-Parkview,265146.0
2006,Oakridge,375307.0
2006,Oakwood Village,392146.0
2006,Old East York,394111.0
2006,Palmerston-Little Italy,553011.0
2006,Parkwoods-Donalda,404100.0
2006,Pelmo Park-Humberlea,360352.0
2006,Playter Estates-Danforth,576713.0
2006,Pleasant View,331860.0
2006,Princess-Rosethorn,680604.0
2006,Regent Park,348928.0
2006,Rexdale-Kipling,320860.0
2006,Rockcliffe-Smythe,307227.0
2006,Roncesvalles,452349.0
2006,Rosedale-Moore Park,972039.0
2006,Rouge,334448.0
2006,Runnymede-Bloor West Village,490697.0
2006,Rustic,383158.0
2006,Scarborough Village,293162.0
2006,South Parkdale,397724.0
2006,South Riverdale,404427.0
2006,St.Andrew-Windfields,888017.0
2006,Steeles,334206.0
2006,Stonegate-Queensway,489230.0
2006,Tam O'Shanter-Sullivan,314574.0
2006,Taylor-Massey,212794.0
2006,The Beaches,592220.0
2006,Thistletown-Beaumond Heights,334072.0
2006,Thorncliffe Park,226882.0
2006,Trinity-Bellwoods,475039.0
2006,University,549567.0
2006,Victoria Village,312980.0
2006,Waterfront Communities-The Island,334960.0
2006,West Hill,252998.0
2006,West Humber-Clairville,305088.0
2006,Westminster-Branson,310480.0
2006,Weston,273761.0
2006,Weston-Pellam Park,312685.0
2006,Wexford/Maryvale,309590.0
2006,Willowdale East,416893.0
2006,Willowdale West,414306.0
2006,Willowridge-Martingrove-Richview,412655.0
2006,Woburn,265315.0
2006,Woodbine Corridor,395861.0
2006,Woodbine-Lumsden,328788.0
2006,Wychwood,503046.0
2006,Yonge-Eglinton,719711.0
2006,Yonge-St.Clair,722799.0
2006,York University Heights,271887.0
2006,Yorkdale-Glen Park,382954.0
2011,Agincourt North,366667.0
2011,Agincourt South-Malvern West,371534.0
2011,Alderwood,475742.0
2011,Annex,830450.0
2011,Banbury-Don Mills,680433.0
2011,Bathurst Manor,557627.0
2011,Bay Street Corridor,470996.0
2011,Bayview Village,599520.0
2011,Bayview Woods-Steeles,628597.0
2011,Bedford Park-Nortown,1034387.0
2011,Beechborough-Greenbrook,412378.0
2011,Bendale,334773.0
2011,Birchcliffe-Cliffside,486184.0
2011,Black Creek,289990.0
2011,Blake-Jones,568589.0
2011,Briar Hill-Belgravia,406371.0
2011,Bridle Path-Sunnybrook-York Mills,1697067.0
2011,Broadview North,492919.0
2011,Brookhaven-Amesbury,390160.0
2011,Cabbagetown-South St.James Town,549326.0
2011,Caledonia-Fairbank,402135.0
2011,Casa Loma,1090696.0
2011,Centennial Scarborough,455664.0
2011,Church-Yonge Corridor,451500.0
2011,Clairlea-Birchmount,394176.0
2011,Clanton Park,613197.0
2011,Cliffcrest,464068.0
2011,Corso Italia-Davenport,466857.0
2011,Danforth,519123.0
2011,Danforth-East York,468801.0
2011,Don Valley Village,442487.0
2011,Dorset Park,291278.0
2011,Dovercourt-Wallace Emerson-Juncti,483276.0
2011,Downsview-Roding-CFB,424038.0
2011,Dufferin Grove,508723.0
2011,East End-Danforth,531476.0
2011,Edenbridge-Humber Valley,885132.0
2011,Eglinton East,299023.0
2011,Elms-Old Rexdale,298328.0
2011,Englemount-Lawrence,632514.0
2011,Eringate-Centennial-West Deane,442233.0
2011,Etobicoke West Mall,343988.0
2011,Flemingdon Park,231020.0
2011,Forest Hill North,946854.0
2011,Forest Hill South,1329642.0
2011,Glenfield-Jane Heights,364206.0
2011,Greenwood-Coxwell,430308.0
2011,Guildwood,410650.0
2011,Henry Farm,411300.0
2011,High Park North,592002.0
2011,High Park-Swansea,648124.0
2011,Highland Creek,476760.0
2011,Hillcrest Village,439166.0
2011,Humber Heights-Westmount,499342.0
2011,Humber Summit,391427.0
2011,Humbermede,355519.0
2011,Humewood-Cedarvale,774983.0
2011,Ionview,319834.0
2011,Islington-City Centre West,502160.0
2011,Junction Area,481686.0
2011,Keelesdale-Eglinton West,358844.0
2011,Kennedy Park,319331.0
2011,Kensington-Chinatown,489709.0
2011,Kingsview Village-The Westway,376154.0
2011,Kingsway South,937464.0
2011,L'Amoreaux,722978.0
2011,Lambton Baby Point,374234.0
2011,Lansing-Westgate,681742.0
2011,Lawrence Park North,844253.0
2011,Lawrence Park South,1216283.0
2011,Leaside-Bennington,896593.0
2011,Little Portugal,600558.0
2011,Long Branch,428946.0
2011,Malvern,285586.0
2011,Maple Leaf,503876.0
2011,Markland Wood,493588.0
2011,Milliken,383540.0
2011,Mimico,437462.0
2011,Morningside,316863.0
2011,Moss Park,455212.0
2011,Mount Dennis,291621.0
2011,Mount Olive-Silverstone-Jamestown,281475.0
2011,Mount Pleasant East,753065.0
2011,Mount Pleasant West,520500.0
2011,New Toronto,453384.0
2011,Newtonbrook East,622104.0
2011,Newtonbrook West,512036.0
2011,Niagara,411339.0
2011,North Riverdale,781629.0
2011,North St.James Town,457435.0
2011,O'Connor-Parkview,331652.0
2011,Oakridge,469444.0
2011,Oakwood Village,490506.0
2011,Old East York,492964.0
2011,Palmerston-Little Italy,691720.0
2011,Parkwoods-Donalda,505459.0
2011,Pelmo Park-Humberlea,450737.0
2011,Playter Estates-Danforth,721368.0
2011,Pleasant View,415099.0
2011,Princess-Rosethorn,851317.0
2011,Regent Park,436448.0
2011,Rexdale-Kipling,401340.0
2011,Rockcliffe-Smythe,384287.0
2011,Roncesvalles,565810.0
2011,Rosedale-Moore Park,1215852.0
2011,Rouge,418336.0
2011,Runnymede-Bloor West Village,613776.0
2011,Rustic,479264.0
2011,Scarborough Village,366694.0
2011,South Parkdale,497483.0
2011,South Riverdale,505868.0
2011,St.Andrew-Windfields,1110755.0
2011,Steeles,418033.0
2011,Stonegate-Queensway,611942.0
2011,Tam O'Shanter-Sullivan,393477.0
2011,Taylor-Massey,266168.0
2011,The Beaches,740764.0
2011,Thistletown-Beaumond Heights,417866.0
2011,Thorncliffe Park,283790.0
2011,Trinity-Bellwoods,594191.0
2011,University,687412.0
2011,Victoria Village,391483.0
2011,Waterfront Communities-The Island,418977.0
2011,West Hill,316456.0
2011,West Humber-Clairville,381612.0
2011,Westminster-Branson,388356.0
2011,Weston,342427.0
2011,Weston-Pellam Park,391115.0
2011,Wexford/Maryvale,387243.0
2011,Willowdale East,521460.0
2011,Willowdale West,518224.0
2011,Willowridge-Martingrove-Richview,516160.0
2011,Woburn,331863.0
2011,Woodbine Corridor,495153.0
2011,Woodbine-Lumsden,411256.0
2011,Wychwood,629223.0
2011,Yonge-Eglinton,900233.0
2011,Yonge-St.Clair,904096.0
2011,York University Heights,340083.0
2011,Yorkdale-Glen Park,479009.0
2016,Agincourt North,459051.0
2016,Agincourt South-Malvern West,465144.0
2016,Alderwood,595608.0
2016,Annex,1039687.0
2016,Banbury-Don Mills,851872.0
2016,Bathurst Manor,698124.0
2016,Bay Street Corridor,589666.0
2016,Bayview Village,750572.0
2016,Bayview Woods-Steeles,786976.0
2016,Bedford Park-Nortown,1295007.0
2016,Beechborough-Greenbrook,516279.0
2016,Bendale,419121.0
2016,Birchcliffe-Cliffside,608681.0
2016,Black Creek,363055.0
2016,Blake-Jones,711848.0
2016,Briar Hill-Belgravia,508759.0
2016,Bridle Path-Sunnybrook-York Mills,2124653.0
2016,Broadview North,617113.0
2016,Brookhaven-Amesbury,488463.0
2016,Cabbagetown-South St.James Town,687732.0
2016,Caledonia-Fairbank,503455.0
2016,Casa Loma,1365503.0
2016,Centennial Scarborough,570471.0
2016,Church-Yonge Corridor,565258.0
2016,Clairlea-Birchmount,493491.0
2016,Clanton Park,767695.0
2016,Cliffcrest,580993.0
2016,Corso Italia-Davenport,584484.0
2016,Danforth,649919.0
2016,Danforth-East York,586918.0
2016,Don Valley Village,553974.0
2016,Dorset Park,364667.0
2016,Dovercourt-Wallace Emerson-Juncti,605040.0
2016,Downsview-Roding-CFB,530877.0
2016,Dufferin Grove,636899.0
2016,East End-Danforth,665384.0
2016,Edenbridge-Humber Valley,1108146.0
2016,Eglinton East,374364.0
2016,Elms-Old Rexdale,373493.0
2016,Englemount-Lawrence,791880.0
2016,Eringate-Centennial-West Deane,553656.0
2016,Etobicoke West Mall,430658.0
2016,Flemingdon Park,289227.0
2016,Forest Hill North,1185419.0
2016,Forest Hill South,1664653.0
2016,Glenfield-Jane Heights,455970.0
2016,Greenwood-Coxwell,538727.0
2016,Guildwood,514116.0
2016,Henry Farm,514929.0
2016,High Park North,741161.0
2016,High Park-Swansea,811423.0
2016,Highland Creek,596883.0
2016,Hillcrest Village,549816.0
2016,Humber Heights-Westmount,625154.0
2016,Humber Summit,490049.0
2016,Humbermede,445094.0
2016,Humewood-Cedarvale,970245.0
2016,Ionview,400418.0
2016,Islington-City Centre West,628682.0
2016,Junction Area,603050.0
2016,Keelesdale-Eglinton West,449257.0
2016,Kennedy Park,399789.0
2016,Kensington-Chinatown,613094.0
2016,Kingsview Village-The Westway,470928.0
2016,Kingsway South,1173663.0
2016,L'Amoreaux,905137.0
2016,Lambton Baby Point,468524.0
2016,Lansing-Westgate,853511.0
2016,Lawrence Park North,1056967.0
2016,Lawrence Park South,1522732.0
2016,Leaside-Bennington,1122495.0
2016,Little Portugal,751872.0
2016,Long Branch,537021.0
2016,Malvern,357541.0
2016,Maple Leaf,630831.0
2016,Markland Wood,617950.0
2016,Milliken,480175.0
2016,Mimico,547683.0
2016,Morningside,396699.0
2016,Moss Park,569905.0
2016,Mount Dennis,365097.0
2016,Mount Olive-Silverstone-Jamestown,352394.0
2016,Mount Pleasant East,942804.0
2016,Mount Pleasant West,651643.0
2016,New Toronto,567617.0
2016,Newtonbrook East,778847.0
2016,Newtonbrook West,641047.0
2016,Niagara,514978.0
2016,North Riverdale,978565.0
2016,North St.James Town,572689.0
2016,O'Connor-Parkview,415214.0
2016,Oakridge,587723.0
2016,Oakwood Village,614092.0
2016,Old East York,617169.0
2016,Palmerston-Little Italy,866003.0
2016,Parkwoods-Donalda,632812.0
2016,Pelmo Park-Humberlea,564303.0
2016,Playter Estates-Danforth,903121.0
2016,Pleasant View,519686.0
2016,Princess-Rosethorn,1065811.0
2016,Regent Park,546413.0
2016,Rexdale-Kipling,502460.0
2016,Rockcliffe-Smythe,481110.0
2016,Roncesvalles,708369.0
2016,Rosedale-Moore Park,1522193.0
2016,Rouge,523738.0
2016,Runnymede-Bloor West Village,768420.0
2016,Rustic,600017.0
2016,Scarborough Village,459085.0
2016,South Parkdale,622827.0
2016,South Riverdale,633325.0
2016,St.Andrew-Windfields,1390616.0
2016,Steeles,523359.0
2016,Stonegate-Queensway,766124.0
2016,Tam O'Shanter-Sullivan,492616.0
2016,Taylor-Massey,333230.0
2016,The Beaches,927404.0
2016,Thistletown-Beaumond Heights,523150.0
2016,Thorncliffe Park,355293.0
2016,Trinity-Bellwoods,743901.0
2016,University,860610.0
2016,Victoria Village,490119.0
2016,Waterfront Communities-The Island,524540.0
2016,West Hill,396189.0
2016,West Humber-Clairville,477762.0
2016,Westminster-Branson,486204.0
2016,Weston,428703.0
2016,Weston-Pellam Park,489659.0
2016,Wexford/Maryvale,484811.0
2016,Willowdale East,652845.0
2016,Willowdale West,648794.0
2016,Willowridge-Martingrove-Richview,646210.0
2016,Woburn,415478.0
2016,Woodbine Corridor,619910.0
2016,Woodbine-Lumsden,514874.0
2016,Wychwood,787760.0
2016,Yonge-Eglinton,1127052.0
2016,Yonge-St.Clair,1131888.0
2016,York University Heights,425769.0
2016,Yorkdale-Glen Park,599698.0
